id,age_group,region,service,channel,completion_minutes,satisfaction,completed
1,20-29,北區,線上申辦,手機,8,5,是
2,20-29,南區,線上申辦,電腦,11,4,是
3,20-29,東區,資料查詢,手機,6,4,是
4,20-29,西區,線上繳費,手機,5,5,是
5,30-39,北區,線上申辦,電腦,12,4,是
6,30-39,南區,線上繳費,手機,7,4,是
7,30-39,東區,資料查詢,電腦,9,5,是
8,30-39,西區,線上申辦,手機,15,3,否
9,40-49,北區,資料查詢,電腦,10,4,是
10,40-49,南區,線上申辦,手機,18,3,是
11,40-49,東區,線上繳費,電腦,13,4,是
12,40-49,西區,線上申辦,電腦,16,3,是
13,50-59,北區,線上申辦,電腦,22,3,是
14,50-59,南區,資料查詢,手機,19,3,否
15,50-59,東區,線上繳費,電腦,17,4,是
16,50-59,西區,線上申辦,手機,25,2,否
17,60以上,北區,資料查詢,電腦,24,3,是
18,60以上,南區,線上申辦,手機,31,2,否
19,60以上,東區,線上繳費,電腦,28,3,是
20,60以上,西區,線上申辦,手機,35,2,否
21,20-29,北區,資料查詢,手機,7,5,是
22,30-39,南區,線上申辦,電腦,10,4,是
23,40-49,東區,線上繳費,手機,14,4,是
24,50-59,西區,資料查詢,電腦,,3,是
